시군구,상가명,지번주소,건물명,건물유형,등록전유부수,실제영업중수,비고
성북구,제이스,서울특별시 성북구 성북동 350-17, ,일반,,,일반건축물(단일단위)
성북구,테이블담소,서울특별시 성북구 동선동2가 135-24, ,일반,,,일반건축물(단일단위)
성북구,인테리어프라자,서울특별시 성북구 종암동 3, ,일반,,,일반건축물(단일단위)
성북구,커피로스팅하우스,서울특별시 성북구 장위동 233-34, ,일반,,,일반건축물(단일단위)
성북구,에디스아미,서울특별시 성북구 보문동2가 71, ,일반,,,일반건축물(단일단위)
성북구,대동철물,서울특별시 성북구 보문동6가 177-1, ,일반,,,일반건축물(단일단위)
성북구,자이공인중개사사무소,서울특별시 성북구 보문동6가 41-1, ,일반,,,일반건축물(단일단위)
성북구,칼리앤캣,서울특별시 성북구 성북동 330-312, ,일반,,,일반건축물(단일단위)
성북구,아모레카운셀러,서울특별시 성북구 삼선동5가 334, ,일반,,,일반건축물(단일단위)
성북구,밝은내일유학,서울특별시 성북구 돈암동 644,돈암코오롱하늘채,집합,1,15,불일치(등록<실제)
성북구,씨유성북보문점,서울특별시 성북구 보문동5가 72, ,일반,,,일반건축물(단일단위)
성북구,새봄약국,서울특별시 성북구 보문동4가 8,화성빌딩,일반,,,일반건축물(단일단위)
성북구,89번가,서울특별시 성북구 동선동2가 2-5, ,일반,,,일반건축물(단일단위)
성북구,반디트라소라틴커뮤니케이션,서울특별시 성북구 성북동 132-3, ,일반,,,일반건축물(단일단위)
강북구,근이네야채가게,서울특별시 강북구 미아동 301-62, ,일반,,,일반건축물(단일단위)
강북구,리안헤어미아,서울특별시 강북구 미아동 58, ,일반,,,일반건축물(단일단위)
강북구,케이마트,서울특별시 강북구 미아동 310-5,캠프더블루빌딩,일반,,,일반건축물(단일단위)
강북구,프라자안경,서울특별시 강북구 수유동 63,"삼호아파트, 수유프라자",집합,1,20,불일치(등록<실제)
강북구,에스비정보통신,서울특별시 강북구 수유동 172-148, ,일반,,,일반건축물(단일단위)
강북구,여래사,서울특별시 강북구 수유동 410-181, ,일반,,,일반건축물(단일단위)
강북구,국선도수유수련원,서울특별시 강북구 수유동 468-235,샤이어빌,집합,1,1,
강북구,미인만들기,서울특별시 강북구 미아동 126-12, ,일반,,,일반건축물(단일단위)
강북구,우리순대국,서울특별시 강북구 우이동 49-15, ,일반,,,일반건축물(단일단위)
강북구,준이네,서울특별시 강북구 미아동 1353,에스케이북한산시티아파트,집합,1,46,불일치(등록<실제)
강북구,찰떡궁합,서울특별시 강북구 수유동 175-61, ,일반,,,일반건축물(단일단위)
강북구,참행복한집,서울특별시 강북구 수유동 280-38, ,일반,,,일반건축물(단일단위)
강북구,비코바스,서울특별시 강북구 수유동 179-8, ,일반,,,일반건축물(단일단위)
강북구,시골닭발,서울특별시 강북구 수유동 221-21, ,일반,,,일반건축물(단일단위)
강북구,행복한새참,서울특별시 강북구 미아동 1353-5,에스케이 북한산시티아파트,집합,1,30,불일치(등록<실제)
강북구,썸,서울특별시 강북구 미아동 44-30, ,일반,,,일반건축물(단일단위)
강북구,도누가,서울특별시 강북구 미아동 301-17, ,일반,,,일반건축물(단일단위)
강북구,엉클로,서울특별시 강북구 수유동 252-164, ,일반,,,일반건축물(단일단위)
강북구,헤어핀,서울특별시 강북구 미아동 3-31, ,일반,,,일반건축물(단일단위)
강북구,제뉴인에이디컴퍼니,서울특별시 강북구 수유동 176-65, ,일반,,,일반건축물(단일단위)
강북구,이마트24번동,서울특별시 강북구 번동 471-14, ,일반,,,일반건축물(단일단위)
강북구,수다방,서울특별시 강북구 번동 465-84,파라다이스,일반,,,일반건축물(단일단위)
강북구,라인컴퍼니,서울특별시 강북구 미아동 215-50, ,일반,,,일반건축물(단일단위)
강북구,동일복원,서울특별시 강북구 번동 437-2, ,일반,,,일반건축물(단일단위)
강북구,명선감자탕,서울특별시 강북구 우이동 7-2, ,일반,,,일반건축물(단일단위)
강북구,장충동이가네족발,서울특별시 강북구 수유동 176-25, ,일반,,,일반건축물(단일단위)
강북구,요가힐엔필라테스,서울특별시 강북구 미아동 838-4, ,일반,,,일반건축물(단일단위)
강북구,&헤어,서울특별시 강북구 미아동 833-36, ,일반,,,일반건축물(단일단위)
강북구,크로스로드,서울특별시 강북구 미아동 310-40, ,일반,,,일반건축물(단일단위)
